HMY,ITYPE,HPOINTER,DTDATE,DSQFT0,DSQFT1,DSQFT2,DSQFT3,DSQFT4,DSQFT5,DSQFT6,DSQFT7,DSQFT8,DSQFT9,DSQFT10,DSQFT11,DSQFT12,DSQFT13,DSQFT14,DSQFT15,sNotes,TDtDate,hUserCreatedBy,dtCreated,hUserModifiedBy,dtLastModified,hForeignDb,sExtReference,hCopyFrom,tRowVersion
1534,4,313,00:00.0,9340,9340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,126,50:07.2,126,50:07.2,NULL,NULL,NULL,0x00000000020331E9
1535,480,6,00:00.0,57411,57411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,126,51:05.2,126,51:05.2,NULL,NULL,NULL,0x00000000020331F1
1536,3,92,00:00.0,57411,57411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,126,51:36.9,126,51:36.9,NULL,NULL,NULL,0x00000000020331F9
1537,4,284,00:00.0,3731,3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,141,17:22.3,141,17:22.3,NULL,NULL,NULL,0x0000000002163720
1539,4,1175,00:00.0,44449,44449,44449,44449,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,158,158,0x000000000217C1C3
1540,4,1176,00:00.0,30121,30121,30121,30121,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,157,157,0x000000000217C1C4
1541,4,1177,00:00.0,28221,28221,28221,28221,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,159,159,0x000000000217C1C5
1542,4,1178,00:00.0,30123,30123,30123,30123,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,160,160,0x000000000217C1C6
1543,4,1179,00:00.0,119045,119045,119045,119045,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,161,161,0x000000000217C1C7
1544,3,882,00:00.0,251959,251959,251959,251959,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,3,43:43.6,3,43:43.6,NULL,168,168,0x000000000217C1CE
1545,4,1180,00:00.0,44449,44449,44449,44449,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,158,158,0x000000000217D79F
1546,4,1181,00:00.0,30121,30121,30121,30121,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,157,157,0x000000000217D7A0
1547,4,1182,00:00.0,28221,28221,28221,28221,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,159,159,0x000000000217D7A1
1548,4,1183,00:00.0,30123,30123,30123,30123,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,160,160,0x000000000217D7A2
1549,4,1184,00:00.0,119045,119045,119045,119045,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,161,161,0x000000000217D7A3
1550,3,891,00:00.0,251959,251959,251959,251959,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,3,43:43.6,3,43:43.6,NULL,168,168,0x000000000217D7AA
1551,480,100,00:00.0,19833,19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1110,1110,0x00000000021BE44C
1552,4,1185,00:00.0,6531,6531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,63,63,0x00000000021BE459
