HMY,HTAX,HUSUALACCT,SCODE,SADDR1,IENTTYPE,ITYPE,SADDR2,SCITY,SSTATE,SZIPCODE,SEXTRAADDRLINE,FSALESTAX,ILATETYPE,DLATEPERCENT,SLATEMIN,SLATEPERDAY,BCOMMTYPE,DCOMMAMT,SCOMMMIN,BCOMMPOSTED,SCOMMPOSTEDAMT,SCASHRESERVE,DTMGMTDATE,IENDOFYEAR,BEXCLUDE,BACCRUAL,BSITE,BASSOCIATION,IPROPTYPE,SMAINTLIMIT,DWOCOMM,IPORTFOLIO,DPPRICE,ITYPERES,SNCREIF,HIDEALLEASE,IRERENT,SACQUIRE,SDISPOSE,HPAYER,DGSTRATE,HPROPSTORAGE,HMVENDOR,CNSFFEE,HNSFCHGCODE,SPROPSTORATTN,SADDR3,SADDR4,HCOUNTRY,iPropReportingType,dtStamp,sPeriod,bInactive,dtInactive,hLegalEntity,sHmProjectType,iUnitTypes,iTypeCommercial,iTypeCondo,iTypeStudent,iTypeSenior,iTypeMilitary,iTypeAffordable,iTypePublicHousing,iTypeCoop,iTypeAssociation,iSubTypeAssoc,iTypeInternational,hcompany,iType2,hUserCreatedBy,hUserModifiedBy,dtCreated,dtLastModified,dtNCREIFInService,dSalesPrice,hCommMLA,HESTATE,bEstate,iTypeCSH,hForeigndb,sExtReference,dtNCREIFStopSubmission,bSiteStuff,tRowVersion,iMktRentalType,hMktRecExpPool,hIncTable,dtEffective,bExcludeModels,bVendorCafe,dtVCSync,iTypeStorage,bResidentScreening,dtResidentScreeningSync,hIncentiveRateId,hCopyFrom,iTypeSFH
964,NULL,NULL,lt_2731 ,Charlotte Meredith Kalla,NULL,3,3388 West 1st Avenue,Vancouver,BC,V6R 1G4,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,1,NULL,NULL,NULL,0,NULL,5254,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,152,5,36:50.4,31:21.6,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003DD2295,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
965,NULL,NULL,lt_2732 ,Kayvman Ventures Ltd.,NULL,3,3102-1011 West Cordova Street,Vancouver,BC,V6C 0B2,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,1,NULL,NULL,NULL,0,NULL,5255,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,152,152,41:45.9,20:11.9,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003D87D30,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
966,NULL,NULL,lt_2733 ,KC Kids Holdings Inc.,NULL,3,3106 West 24th Avenue,Vancouver,BC,V6L 1R6,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,1,NULL,NULL,NULL,0,NULL,5256,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,152,152,11:13.8,11:13.8,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003D7253D,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
967,NULL,NULL,lt_2734 ,Patrick Lecky,NULL,3,1995 Whyte Ave,Vancouver,BC,V6J 1B4,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,1,NULL,NULL,NULL,0,NULL,5257,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,152,174,17:18.1,21:32.0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x000000000405AF36,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
968,NULL,NULL,lt_2832 ,Jagir Sadhra,NULL,3,4320 Uplands Dr,Nanaimo,BC,V9T5L8,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,1,NULL,NULL,NULL,0,NULL,5259,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,152,182,38:17.2,53:48.8,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003D87DD0,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
969,NULL,NULL,lt_2833 ,Stockton & Bush Holdings Inc.,NULL,3,,,,,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,1,NULL,NULL,NULL,0,NULL,5260,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,152,152,46:10.0,31:08.4,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003E732B3,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
970,NULL,NULL,lt_2477 ,LW Retail Venture I LP,NULL,3,,,,,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,,,1,NULL,NULL,NULL,0,NULL,5263,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,152,152,02:20.5,31:31.9,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003EAF7A6,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
971,NULL,NULL,lt_3087 ,Standens Property,NULL,3,1222 58 Avenue Southeast,Calgary,AB,T2H 2E9,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,1,NULL,NULL,NULL,0,NULL,NULL,,NULL,-1,0,0,0,0,0,0,0,0,0,0,NULL,0,2,2,22:01.2,22:01.2,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003DC24AC,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
972,NULL,NULL,lt_2473 ,2473 Eastern Ontario Retail Portfolio Title Ltd,NULL,3,2473 Eastern Ontario Retail Portfolio Title Ltd,,,,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,1,NULL,NULL,NULL,0,NULL,5226,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,5,152,42:24.6,40:42.8,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003EAA2D2,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
973,NULL,NULL,lt_2834 ,Dayhu (Eastern Grocer Portfolio) Limited Partnership,NULL,3,,,,,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,1,NULL,NULL,NULL,0,NULL,5272,,NULL,0,0,0,0,0,0,0,0,0,0,0,NULL,0,152,152,46:14.9,46:14.9,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0x0000000003E73306,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
