HMY,HPROPERTY,HOWNER,DPERCENT,DINVESTMENT,DINVESTDATE,SREMARKS,dShares,dIncome,dDepreciation,dTaxCredit,dStateCredit,Stype,hForeignDb,sExtReference,tRowVersion
726,774,2599,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001179165
727,775,2600,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000117917A
728,777,2606,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000118135E
729,778,2607,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001182820
730,795,2663,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001220183
731,796,2663,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000012201AC
732,798,146,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000122020D
734,800,2531,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000012202C9
735,801,2531,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000012202E0
736,802,2677,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000125982D
737,803,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000012A90EA
738,804,2808,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000139A2CA
740,806,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000151FA8D
741,807,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000151FBDE
742,808,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000151FDE2
743,809,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000152011E
744,810,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001520208
745,811,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000015202D1
746,812,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000152044E
747,813,30,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000152051A
748,814,2677,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000152093B
750,816,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001520E17
751,817,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000015210E8
752,818,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001521243
753,819,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001521451
754,820,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001521791
755,821,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001521870
756,822,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000152193D
757,823,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001521AC3
758,824,30,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001521BA1
759,825,2677,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001521FCC
760,826,3051,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001628737
761,827,3051,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000016287A0
762,830,3275,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000019B401C
763,831,3276,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000019B405F
764,832,3276,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000019B4087
765,833,3276,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000019B40AF
766,834,3277,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000019B40E6
767,835,3277,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000019B4110
768,838,3315,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC4E3
769,839,3315,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC52B
770,840,3315,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC553
771,841,3315,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC57C
772,842,3316,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC5C3
773,843,3316,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC5EB
774,844,3317,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC670
775,845,3318,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC685
776,846,3319,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC6AD
777,847,3320,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001BEC6C2
778,848,3323,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C2411C
779,849,3324,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C24145
780,850,3325,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C24176
781,851,3326,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C2419F
792,862,3327,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C24275
793,863,3328,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C2427E
794,864,3329,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C24287
795,865,3330,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C24290
796,866,3331,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C24299
797,867,3332,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C242A2
798,868,3333,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C242AB
799,869,3334,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C242B4
800,870,3335,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C242BD
801,871,3336,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001C242C6
802,874,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAAE31
803,875,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAB19B
804,876,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAB30A
805,877,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAB57A
806,878,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAB960
807,879,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FABA69
808,880,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FABB49
809,881,30,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FABD75
810,882,2677,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAC332
811,883,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAC488
812,884,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAC7E9
813,885,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAC95D
814,886,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FACBCC
815,887,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FACFAF
816,888,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAD0B2
817,889,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAD19E
818,890,30,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAD3D6
819,891,2677,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000001FAD980
820,892,3663,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000021BE72B
821,893,3664,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000021BE754
822,894,3665,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000021BE77D
823,900,3869,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x000000000267C878
824,904,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000002DF2208
825,905,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000002DF26CB
826,906,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000002DF2857
827,907,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000002DF2B3B
828,908,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000002DF2FAF
829,909,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000002DF30C1
830,910,2677,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000002DF318D
831,911,4890,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000031F8BC3
832,912,4890,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000031F8BF1
833,913,4890,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000031F8C24
834,914,4891,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x00000000031F8C4D
